FID,gis_id,ssc_code,ssc_name,lga_code,Total_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time,Percentage_Employed_Persons_Worked_Full_Time_Vic,Total_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time,Percentage_Employed_Persons_Worked_Part_Time_Vic,Total_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work,Percentage_Persons_Employed_Away_From_Work_Vic,Total_Persons_Unemployed,Percentage_Persons_Unemployed,Percentage_Persons_Unemployed_Vic,Year
employment_suburb.fid-70a927cd_165b71c4c19_28ea,1,SSC20001,Abbeyard,LGA20110,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28eb,2,SSC20002,Abbotsford,LGA27350,3739,69.09,58.08,1247,23.04,32.02,135,2.49,3.19,291,5.38,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28ec,92,SSC20092,Axedale,LGA22620,220,56.41,58.08,138,35.38,32.02,14,3.59,3.19,18,4.62,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28ed,2739,SSC22739,Wesburn,LGA27450,279,56.59,58.08,167,33.87,32.02,21,4.26,3.19,26,5.27,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28ee,9,SSC20009,Adelaide Lead,LGA21670,18,60,58.08,12,40,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28ef,2682,SSC22682,Warneet,LGA21610,164,60.74,58.08,73,27.04,32.02,8,2.96,3.19,25,9.26,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f0,868,SSC20868,Enochs Point,LGA24250,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f1,2851,SSC22851,Wrathung,LGA26810,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f2,2477,SSC22477,Terip Terip,LGA25620,18,56.25,58.08,14,43.75,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f3,14,SSC20014,Airport West,LGA25060,2400,64.81,58.08,1007,27.19,32.02,114,3.08,3.19,182,4.91,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f4,2143,SSC22143,Reedy Creek,LGA24850,44,58.67,58.08,24,32,32.02,3,4,3.19,4,5.33,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f5,876,SSC20876,Errinundra,LGA22110,0,0,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f6,1327,SSC21327,Kevington,LGA24250,9,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f7,2496,SSC22496,Thornbury,LGA21890,5999,58.15,58.08,3408,33.03,32.02,331,3.21,3.19,579,5.61,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f8,599,SSC20599,Coghills Creek,LGA20570,17,42.5,58.08,20,50,32.02,3,7.5,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28f9,878,SSC20878,Esmond,LGA24900,3,100,58.08,0,0,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28fa,2145,SSC22145,Reedy Flat,LGA22110,19,86.36,58.08,3,13.64,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28fb,2771,SSC22771,Wilkur,LGA21270,21,67.74,58.08,10,32.26,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28fc,1410,SSC21410,Laang,LGA25490,37,69.81,58.08,16,30.19,32.02,0,0,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28fd,2827,SSC22827,Woodside Beach,LGA26810,17,50,58.08,13,38.24,32.02,4,11.76,3.19,0,0,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28fe,600,SSC20600,Cohuna,LGA22250,526,54.45,58.08,359,37.16,32.02,45,4.66,3.19,36,3.73,6.71,2016
employment_suburb.fid-70a927cd_165b71c4c19_28ff,2162,SSC22162,Ringwood,LGA24410,5230,59.7,58.08,2669,30.47,32.02,258,2.95,3.19,603,6.88,6.71,2016
